Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
27.43,0.75882704,-2.34631714,-456.56057195,0.58783224,0.97003468,-0.5788404,17.3400917,-5.8688497,-6.08256691,-69.19353879,6.67150986,-9.37997776,0,13.53741039,1.31397007,-8.15319497,-14.58549509,3.33933197,-8.82157917,0,0,0,0
27.435,0.76741347,-2.327756,-456.60794313,0.58818396,0.97037471,-0.57614649,18.04853704,-5.88886304,-6.07036768,-69.86041062,6.92315458,-9.73315104,0,13.34410625,1.36824432,-8.19136175,-14.51376147,3.48956712,-8.82543047,0,0,0,0
27.44,0.78098871,-2.3429299,-456.65101428,0.58854824,0.97077282,-0.57344754,18.69837153,-5.9178007,-6.05697467,-70.45309265,7.17307318,-9.99770675,0,13.10245449,1.43557255,-8.22589354,-14.41598442,3.62295143,-8.82557176,0,0,0,0
27.445,0.77015321,-2.33136971,-456.67884073,0.58890089,0.97115809,-0.57078682,19.34679224,-5.91053834,-6.05923595,-70.96500682,7.43817346,-10.18958844,0,12.89902699,1.47510792,-8.23448201,-14.33561695,3.75639402,-8.83698456,0,0,0,0
27.45,0.75625294,-2.33352394,-456.70366177,0.58925687,0.97157701,-0.56813489,19.95519205,-5.89798362,-6.06044263,-71.3997291,7.70068333,-10.30936862,0,12.6745715,1.51491486,-8.23911522,-14.24142326,3.87717718,-8.84949312,0,0,0,0
27.455,0.73416744,-2.35436753,-456.72361837,0.58960797,0.97202943,-0.56548815,20.51357224,-5.87376841,-6.0647855,-71.75417327,7.96682691,-10.38521424,0,12.42944339,1.54816182,-8.24883909,-14.14688983,4.00222452,-8.85836876,0,0,0,0
27.46,0.7064559,-2.33869059,-456.74416481,0.58996738,0.97246111,-0.56288658,21.09058509,-5.8348792,-6.06335334,-72.03390194,8.21536402,-10.36821497,0,12.21855205,1.57337446,-8.23685385,-14.03717702,4.09633197,-8.87194073,0,0,0,0
27.465,0.66599818,-2.33924023,-456.75954262,0.59031637,0.97292254,-0.56028033,21.61335868,-5.77956183,-6.07022917,-72.22804162,8.47559613,-10.33626133,0,11.99054644,1.58666665,-8.22924701,-13.93200254,4.20051919,-8.89390832,0,0,0,0
27.47,0.62170747,-2.33245722,-456.77470731,0.59066665,0.97338905,-0.55770425,22.11762507,-5.71346199,-6.07287701,-72.34449422,8.72285124,-10.25726188,0,11.76697905,1.59600513,-8.21403423,-13.81634121,4.28642803,-8.91680537,0,0,0,0
27.475,0.57869357,-2.31666529,-456.78721099,0.59103444,0.97385438,-0.55514609,22.60451186,-5.65102562,-6.0796891,-72.38381154,8.94747558,-10.1382637,0,11.54600549,1.60951874,-8.18162085,-13.68298929,4.35624644,-8.95195931,0,0,0,0
27.48,0.52894951,-2.30422577,-456.80399965,0.59139149,0.97433077,-0.55260436,23.05560373,-5.57421003,-6.08201222,-72.34114706,9.17348726,-10.01663734,0,11.31959265,1.61509121,-8.15643445,-13.54690872,4.42306733,-8.99499403,0,0,0,0
27.485,0.48219869,-2.28980909,-456.81638241,0.59175602,0.97480462,-0.55007642,23.47766187,-5.50094158,-6.08919553,-72.22094645,9.4003742,-9.89387378,0,11.09117441,1.6267411,-8.11500162,-13.39887791,4.47176979,-9.05920877,0,0,0,0
27.49,0.42464692,-2.27309394,-456.83718895,0.59209775,0.97528948,-0.54756911,23.8697119,-5.40852162,-6.09068299,-72.01760324,9.59227375,-9.7701736,0,10.86170317,1.62208639,-8.09590436,-13.24677471,4.52885476,-9.09781803,0,0,0,0
27.495,0.36445134,-2.25496661,-456.85192809,0.59242457,0.97577553,-0.54508633,24.22747786,-5.30889835,-6.09868386,-71.73319381,9.78732666,-9.68294772,0,10.63463118,1.61145736,-8.09213183,-13.09244666,4.57116582,-9.11886478,0,0,0,0
27.5,0.31058747,-2.22985306,-456.86349291,0.59274841,0.97624543,-0.54263079,24.56368501,-5.21790529,-6.1101203,-71.37680323,9.96750952,-9.58568804,0,10.41400247,1.60722505,-8.08064085,-12.93097679,4.60829397,-9.13864155,0,0,0,0
